id,projectKey,name,chartEnabled,subtaskingEnabled,projectLeaderCanEditProjectLeader,textFormattingRule,archived,displayOrder
2,OTC2,OTC-Dev,True,False,False,backlog,False,1
3,TFTEST,TF-TEST,True,True,False,backlog,False,10
4,TSS,TSSONLY,True,False,False,backlog,False,8
5,WP,OTC-WebPortal,True,False,False,backlog,False,2
6,OP,Clearing-SystemOperation,True,True,False,backlog,False,6
7,UAT,OTC-UAT,False,False,False,backlog,False,3
8,IFR,OTC-Infrastructure,True,False,False,backlog,False,7
9,JSCC,JSCCONLY,True,False,False,backlog,False,9
10,OTC,OTC-Main,True,True,False,backlog,False,0
14,CLINFR,ClearingInfra,True,True,False,backlog,False,11
15,CD,RTC,True,True,False,backlog,False,12
16,CO,CO,True,False,False,backlog,False,13
18,GDIFR,GD_infra,True,False,False,backlog,False,15
19,CL,CL,True,False,False,backlog,False,16
21,JGB,JGB-ClearingSystems,True,True,False,backlog,False,4
22,JPX,Listed-ClearingSystems,True,True,False,backlog,False,5
23,OSAKA,OTC-OSAKA,True,False,False,backlog,False,2147483646
24,KABUREPO,Equity-Repo,True,False,False,backlog,False,2147483646
25,CBIS,CBIS,True,True,False,backlog,False,2147483646
26,OTC_STRAT,OTC-System Strategy,True,False,False,backlog,False,2147483646
27,MX,Murex,False,False,False,backlog,False,2147483646
28,CLR,本番運用チーム,True,True,False,backlog,False,2147483646
29,ALL,Backlog-Common,False,False,False,backlog,False,2147483646
30,TESTCAL01,TEST-InoueNa2,False,False,False,backlog,False,2147483646
31,KURODA,kuroda,True,True,False,backlog,False,2147483646
32,ZEN,KAIZEN,True,True,False,backlog,False,2147483646
33,WPIFR,WebPortal-IFR,True,False,False,backlog,False,2147483646
34,OTC_FPML,OTC-FPML案件,True,False,False,backlog,False,2147483646
35,ETDVARSIM,ETDVaR-MarginSimulation,True,False,False,backlog,False,2147483646
36,ACM,OTC-ACM,True,False,False,backlog,False,2147483646
37,DLT,DLT,True,False,False,backlog,False,2147483646
38,OTCD,OTC-Dev-TSS,True,True,False,backlog,False,2147483646
39,GD2SHARE,【GD2】Hitachi&IBM&JPX共有,True,False,False,backlog,False,2147483646
40,OTC_IIM,OTC-IIM,True,True,False,backlog,False,2147483646
41,GEN,Genesis,True,False,False,backlog,False,2147483646
